pref;uptime;ax;ay;az;gx;gy;gz;mx;my;mz;pressure;altitude;tempreature;simulation;one;two;three;four;five;six;seven;eight
DAT;201467; 0.013; 0.055; 1.120; 3.465; -4.655; -6.720; -1.104; 0.474; -2.975; 1001.698; 0.394; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;201511; 0.003; 0.060; 0.983; 3.570; -4.410; -7.000; -1.105; 0.473; -2.977; 1001.698; 0.384; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;201577; 0.020; 0.048; 1.115; 3.220; -4.060; -5.915; -1.105; 0.473; -2.977; 1001.612; 1.101; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;201643; 0.004; 0.054; 1.007; 3.360; -4.095; -6.090; -1.103; 0.475; -2.975; 1001.640; 0.893; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;201687; 0.020; 0.047; 1.120; 3.115; -4.515; -5.775; -1.103; 0.475; -2.975; 1001.613; 1.050; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;201775; 0.000; 0.055; 1.013; 2.975; -3.850; -5.180; -1.104; 0.473; -2.975; 1001.610; 1.123; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;201841; 0.016; 0.048; 1.010; 3.395; -4.620; -6.825; -1.103; 0.477; -2.975; 1001.610; 1.129; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;201885; 0.020; 0.048; 0.992; 3.395; -4.620; -5.740; -1.103; 0.477; -2.975; 1001.648; 0.828; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;201951; 0.007; 0.058; 0.993; 3.360; -4.550; -6.580; -1.102; 0.479; -2.973; 1001.635; 0.907; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;201995; 0.012; 0.062; 0.986; 3.115; -4.375; -5.635; -1.102; 0.479; -2.973; 1001.635; 0.913; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202061; 0.009; 0.037; 0.994; 2.905; -4.165; -6.650; -1.101; 0.482; -2.970; 1001.679; 0.551; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202127; 0.019; 0.046; 0.876; 2.975; -4.410; -6.825; -1.100; 0.477; -2.973; 1001.578; 1.387; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202171; 0.010; 0.061; 1.017; 3.360; -4.620; -6.405; -1.100; 0.477; -2.973; 1001.634; 1.042; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202237; 0.016; 0.047; 0.874; 0.875; -7.910; -6.615; -1.105; 0.481; -2.966; 1001.634; 0.925; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202303; 0.005; 0.060; 1.002; 2.660; -4.655; -5.670; -1.106; 0.479; -2.971; 1001.689; 0.468; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202347; 0.021; 0.055; 0.992; 3.115; -4.620; -6.755; -1.106; 0.479; -2.971; 1001.638; 0.866; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202413; 0.007; 0.053; 0.995; 3.080; -4.165; -5.880; -1.106; 0.477; -2.973; 1001.613; 1.050; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202457; 0.006; 0.045; 0.997; 3.465; -4.445; -6.895; -1.106; 0.477; -2.973; 1001.613; 1.099; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202523; 0.020; 0.047; 1.001; 3.255; -4.935; -5.950; -1.103; 0.478; -2.968; 1001.665; 0.694; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202589; 0.008; 0.060; 0.983; 3.185; -4.130; -5.530; -1.103; 0.478; -2.968; 1001.667; 0.646; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202633; 0.006; 0.054; 0.996; 2.940; -4.725; -6.755; -1.105; 0.480; -2.969; 1001.667; 0.644; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202699; 0.010; 0.062; 1.013; 3.465; -4.200; -5.950; -1.103; 0.482; -2.969; 1001.656; 0.737; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202765; 0.012; 0.047; 0.998; 3.605; -4.445; -4.795; -1.103; 0.482; -2.969; 1001.703; 0.369; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202809; 0.015; 0.048; 0.998; 2.975; -4.410; -4.795; -1.103; 0.484; -2.975; 1001.611; 0.925; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202875; 0.020; 0.061; 0.979; 3.255; -4.935; -6.230; -1.103; 0.484; -2.975; 1001.611; 1.114; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202919; 0.010; 0.057; 0.996; 3.220; -4.445; -4.690; -1.104; 0.486; -2.962; 1001.630; 0.970; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;202985; 0.019; 0.058; 1.007; 3.255; -4.235; -6.090; -1.104; 0.486; -2.962; 1001.683; 0.540; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203051; 0.020; 0.037; 0.986; 3.430; -4.690; -6.230; -1.105; 0.487; -2.969; 1001.634; 0.824; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203098; 0.023; 0.044; 0.989; 3.640; -4.690; -5.775; -1.104; 0.486; -2.977; 1001.634; 0.921; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203164; 0.020; 0.049; 0.984; 3.465; -4.655; -5.810; -1.104; 0.486; -2.977; 1001.641; 0.870; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203208; 0.014; 0.053; 1.013; 3.535; -4.620; -3.885; -1.102; 0.485; -2.972; 1001.763; 0.097; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203252; 0.014; 0.033; 0.987; 3.500; -4.025; -6.195; -1.102; 0.485; -2.972; 1001.763; -0.144; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203318; 0.002; 0.062; 0.988; 3.185; -4.130; -4.480; -1.104; 0.483; -2.970; 1001.719; 0.191; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203362; 0.024; 0.061; 0.990; 3.500; -4.620; -5.740; -1.104; 0.483; -2.970; 1001.719; 0.213; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203406; 0.009; 0.062; 1.102; 3.640; -4.130; -7.210; -1.104; 0.483; -2.967; 1001.790; -0.347; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203472; 0.002; 0.060; 0.987; 3.220; -4.025; -5.355; -1.104; 0.483; -2.967; 1001.740; 0.004; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203516; -0.018; 0.061; 0.885; 2.695; -3.885; -6.160; -1.101; 0.482; -2.976; 1001.740; 0.028; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203582; 0.047; 0.169; 0.967; 2.625; -4.235; -4.795; -1.101; 0.482; -2.976; 1001.769; -0.203; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203626; 0.017; 0.054; 0.983; 2.555; -4.620; -6.615; -1.106; 0.483; -2.969; 1001.701; 0.327; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203670; 0.001; 0.030; 0.972; 3.570; -4.165; -7.140; -1.106; 0.483; -2.969; 1001.701; 0.360; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203736; 0.003; 0.116; 1.035; 3.220; -4.025; -6.230; -1.101; 0.481; -2.972; 1001.712; 0.271; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203780; 0.015; 0.048; 0.970; 3.535; -3.850; -8.400; -1.101; 0.481; -2.972; 1001.639; 0.729; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203824; 0.046; 0.196; 0.988; 2.205; -3.990; -3.745; -1.106; 0.484; -2.971; 1001.639; 0.873; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203890; -0.127; 0.104; 1.286; 4.935; 8.820; -6.300; -1.106; 0.484; -2.971; 1001.741; 0.036; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;203934; 0.241; 0.152; 3.709; 24.290; -6.370; 12.705; -1.104; 0.481; -2.974; 1001.739; 0.038; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;204000; -0.075; 0.234; 6.312; 15.120; -44.905; 42.490; -1.053; 0.456; -2.958; 1001.739; 0.042; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;204044; 0.054; 0.242; 12.966; -24.080; -35.175; 63.525; -1.053; 0.456; -2.958; 1001.795; -0.404; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
DAT;204088; -0.872; 1.240; 15.989; -8.855; -15.575; 66.045; -1.053; 0.456; -2.958; 1001.789; -0.390; -2; 0.000; 0; 0; 0; 0; 0; 0; 0; 0
